path,text,split
train\sample_1764717339406.wav,"Que su carne no se rasgue, haz que su sangre no deje manchas aunque lo hieran",train
train\sample_1764717367092.wav,"Haz que no sienta dolor, que sus huesos nunca se rompan",train
train\sample_1764717408706.wav,Ninguna buena accion queda sin castigo,train
train\sample_1764717435731.wav,"Ninguna buena accion queda impune, ese es mi nuevo credo",train
train\sample_1764717490741.wav,"Claro, tengo buenas intenciones",train
train\sample_1764717510590.wav,No prometo ninguna otra buena accion,train
train\sample_1764717585819.wav,Quiza esa es la razon por la cual ninguna buena accion queda sin un castigo,train
train\sample_1764717991160.wav,"Si les interesa encontrarme, miren hacia el cielo occidental",train
train\sample_1764718020095.wav,"Alguien me dijo hace poco, todos merecen la oportunidad de volar",train
train\sample_1764718038978.wav,"estoy volando solo, al menos vuelo libre",train
train\sample_1764718092930.wav,Que me tacharon de malo diganles que estoy desafiando la gravedad,train
train\sample_1764719163884.wav,El juez Joaquín juzgó la joya gemela mientras Jorge juraba no haberla hallado junto al viejo jardín.,train
train\sample_1764719223264.wav,"Cada jueves hago yoga en silencio, respiro hondo y visualizo cómo se disipa cualquier tensión de mi cuerpo y mi mente.+",train
train\sample_1764719651020.wav,"Beatriz organizó una excursión a Xochimilco con amigos, llevaron quesadillas, mole y pan de elote para compartir.",train
train\sample_1764719676367.wav,El científico explicó que el quetzal es un ave sagrada y que su plumaje iridiscente inspiró leyendas en muchos pueblos.,train
train\sample_1764719697620.wav,"Mientras Yolanda bordaba, escuchaba zarzuelas antiguas y tarareaba tonos agudos que resonaban en toda la sala.",train
train\sample_1764719720560.wav,"Sergio compró xilófonos, zampoñas y marimbas para montar un taller donde niños y niñas experimentaran con ritmos diversos.",train
train\sample_1764719752293.wav,"Algunos pingüinos se zambullen en aguas frías, baten las aletas y emergen con gracia antes de deslizarse sobre el hielo.",train
train\sample_1764719772274.wav,"Héctor mezcló jengibre, zanahoria y lima para preparar un jugo vibrante que le devolviera energía en la mañana.",train
train\sample_1764719795866.wav,"Quería escribir un cuento sobre robots que aprenden a bailar salsa, merengue y cumbia siguiendo instrucciones humanas.",train
train\sample_1764719818203.wav,"La profesora de lingüística pidió grabar frases con ‘psicólogo’, ‘subterráneo’ y ‘examen’ para captar combinaciones poco comunes.",train
train\sample_1764719844754.wav,"En la feria gastronómica probé ajíes, guisos andinos y un pastel de choclo que olía impresionante.",train
train\sample_1764719864523.wav,"Zarina y Xiomara planearon una coreografía con zancos, cintas y xilófonos para inaugurar la fiesta regional.",train
train\sample_1764730575952.wav,Hoy el clima estaba fresco y aprovechÃ© para dar una caminata corta. A veces un pequeÃ±o paseo cambia todo el dÃ­a.,train
train\sample_1764730629709.wav,La tecnologÃ­a avanza tan rÃ¡pido que cada semana aparece algo nuevo. Es emocionante ver cÃ³mo cambia nuestro mundo.,train
train\sample_1764730677373.wav,El cafÃ© de la maÃ±ana me ayuda a organizar mis ideas. Es como un pequeÃ±o impulso para empezar bien el dÃ­a.,train
train\sample_1764730705247.wav,La naturaleza siempre sorprende con sus colores y sonidos. Basta detenerse un momento para apreciarla.,train
train\sample_1764730726596.wav,"Aprender lleva tiempo, pero cada paso cuenta. Lo importante es no rendirse aunque avance lento.",train
train\sample_1764730747759.wav,Viajar nos abre la mente y nos muestra nuevas culturas. Cada lugar enseÃ±a algo diferente.,train
train\sample_1764730765076.wav,La creatividad aparece cuando estamos relajados. Una simple pausa puede inspirar una gran idea.,train
train\sample_1764730783156.wav,La historia estÃ¡ llena de inventos que cambiaron todo. Es increÃ­ble cÃ³mo una idea puede transformar el futuro.,train
train\sample_1764730803868.wav,Una buena conversaciÃ³n puede mejorar el dÃ­a. A veces solo necesitamos que alguien nos escuche.,train
train\sample_1764730820173.wav,La mÃºsica conecta emociones y recuerdos. Un solo acorde puede cambiar nuestro Ã¡nimo.,train
train\sample_1764730836566.wav,Mirar el cielo nocturno me hace pensar en lo pequeÃ±o que somos. El universo es enorme y fascinante.,train
train\sample_1764730856130.wav,"Los retos ayudan a crecer, aunque no siempre lo parezca. Cada dificultad trae un aprendizaje.",train
train\sample_1764730889280.wav,cocinar puede ser divertido y relajante. Mezclar sabores siempre trae sorpresas.,train
train\sample_1764730908642.wav,Las decisiones pequeÃ±as tambiÃ©n importan. A veces cambian el rumbo de todo un dÃ­a,train
train\sample_1764730926019.wav,Leer un libro es como entrar en otro mundo. Cada historia ofrece una nueva perspectiva.,train
train\sample_1764730944814.wav,Hablar con claridad evita malentendidos. Expresar lo que sentimos siempre ayuda.,train
train\sample_1764730963745.wav,Cada amanecer recuerda que podemos empezar de nuevo. Siempre hay una nueva oportunidad.,train
train\sample_1764731010662.wav,La ciencia nos ha permitido resolver problemas enormes. Es una de las fuerzas más importantes del mundo moderno.,train
train\sample_1764731068617.wav,A veces necesitamos descansar para seguir avanzando. El equilibrio también es parte del progreso.,train
train\sample_1764731087642.wav,Los animales tienen comportamientos increíbles. La naturaleza está llena de inteligencia escondida.,train
train\sample_1764731105899.wav,Las ciudades cambian a diario. Cada calle guarda historias nuevas.,train
train\sample_1764731185595.wav,El arte expresa emociones que a veces no podemos decir. Una imagen puede decir mÃ¡s que mil palabras.,train
train\sample_1764731204906.wav,Trabajar en equipo nos da nuevas ideas. La colaboración siempre mejora los resultados.,train
train\sample_1764731220554.wav,"La paciencia es difícil, pero muy valiosa. Todo llega en su momento justo.",train
train\sample_1764731245906.wav,Dormir bien cambia cómo enfrentamos el día. El descanso es una herramienta poderosa.,train
train\sample_1764731264624.wav,El mar tiene un sonido que tranquiliza. Escuchar las olas siempre me relaja.,train
train\sample_1764731284697.wav,Innovar significa pensar diferente. Las mejores ideas nacen cuando cuestionamos lo normal.,train
train\sample_1764731302214.wav,"Los recuerdos aparecen con olores, sonidos o lugares. La memoria tiene su forma especial de sorprendernos.",train
train\sample_1764731322458.wav,Cada persona ve el mundo de una manera única. Conocer esas perspectivas nos vuelve más empáticos.,train
train\sample_1764731341964.wav,La disciplina construye resultados. Pequeños hábitos diarios hacen una gran diferencia.,train
train\sample_1764731360657.wav,El universo es enorme y misterioso. Cada estrella es un recordatorio de lo mucho que hace falta por aprender.,train
train\sample_1764731408407.wav,El deporte enseña constancia y esfuerzo. Cada entrenamiento suma un progreso.,train
train\sample_1764731423996.wav,Los proyectos nacen de ideas pequeñas. Con dedicación se convierten en algo grande.,train
train\sample_1764731441335.wav,Aprender un idioma abre puertas a nuevas culturas. Es un reto que vale la pena.,train
train\sample_1764731456517.wav,La empatía fortalece nuestras relaciones. Escuchar al otro crea conexiones reales.,train
